,asin,product name,ratings,reviews,helpful,date,Unnamed: 6,target,text
0,B005OCFGTO,Harry Potter: The Complete 8-Film Collection,5,"

  When I purchased this set, there were 3 options:Harry Potter 8-film collection (4kUHD) standard edition Blu-Ray for $169.99  (Blu-Ray labeled box) (16 discs)Harry Potter The Complete 8-film collection for $54.98 (DVD labeled box) (8 discs)Harry Potter Hogwart's Collection for $134.95 {Multi Format labeled box) (31 discs)I purchased the 4kUHD set.  This set has 8 4kUHD blu-ray discs, and 8 standard blu-ray discs.The 4k blu-ray discs DO NOT contain any special features, I checked each disc.The standard blu-ray discs DO contain some special features as follows:Disc 1 (Sorcerer's Stone) has in movie experience with chris columbus and BD-Live, and includes the 159 minute length movie.Disc 2 (Chamber of Secrets) has in movie experience with chris columbus and BD-Live, and includes the 174 minute length movie.Disc 3 (Azkhaban) BD-liveDisc 4 (Goblet of Fire) has in movie experience and BD-live.Disc 5 (Order of Pheonix) has in movie experience, focus points and BD-live.Disc 6(Half-Blood Prince) has maximum movie mode, focus points and BD-live.Disc 7(Deathly Hallows 1) has maximum movie mode, focus points and BD-live.Disc 8(Deathly Hallows 2) has maximum movie mode, focus points and BD-live.I do know what is included in the 31 disc multi format set called the Hogwarts Collection:Disc 1: Harry Potter and the Sorcerer's Stone Theatrical Version + Extended Version + Extra Content (Blu-ray)Disc 2: Harry Potter and the Sorcerer's Stone Theatrical Version (DVD)Disc 3: Harry Potter and the Sorcerer's Stone, Creating The World: The Magic Begins (Blu-ray)Disc 4: Harry Potter and the Sorcerer's Stone, Disc 2 from the Special Edition (DVD)Disc 5: Harry Potter and the Chamber of Secrets Theatrical Version + Extended Version + Extra Content (Blu-ray)Disc 6: Harry Potter and the Chamber of Secrets Theatrical Version (DVD)Disc 7: Harry Potter and the Chamber of Secrets, Creating the World: Characters (Blu-ray)Disc 8: Harry Potter and the Chamber of Secrets, Disc 2 from the Special Edition (DVD)Disc 9: Harry Potter and the Prisoner of Azkaban Theatrical Version (Blu-ray)Disc 10: Harry Potter and the Prisoner of Azkaban Theatrical Version (DVD)Disc 11: Harry Potter and the Prisoner of Azkaban, Creating the World: Creatures (Blu-ray)Disc 12: Harry Potter and the Prisoner of Azkaban, Disc 2 from the Special Edition (DVD)Disc 13: Harry Potter and the Goblet of Fire Theatrical Version (Blu-ray)Disc 14: Harry Potter and the Goblet of Fire Theatrical Version (DVD)Disc 15: Harry Potter and the Goblet of Fire, Creating the World: Sound & Music (Blu-ray)Disc 16: Harry Potter and the Goblet of Fire, Disc 2 from the Special Edition (DVD)Disc 17: Harry Potter and the Order of the Phoenix Theatrical Version + Extra Content (Blu-ray)Disc 18: Harry Potter and the Order of the Phoenix Theatrical Version (DVD)Disc 19: Harry Potter and the Order of the Phoenix, Creating the World: Evolution (Blu-ray)Disc 20: Harry Potter and the Half-Blood Prince Theatrical Version + Extra Content (Blu-ray)Disc 21: Harry Potter and the Half-Blood Prince Theatrical Version (DVD)Disc 22: Harry Potter and the Half-Blood Prince, Creating the World: Magical Effects + Extra Content (Blu-ray) Disc 23: Harry Potter and the Deathly Hallows – Part 1 Theatrical Version + Extra Content (Blu-ray)Disc 24: Harry Potter and the Deathly Hallows – Part 1 Theatrical Version (DVD)Disc 25: Harry Potter and the Deathly Hallows – Part 1, Creating the World: Story + Extra Content (Blu-ray)Disc 26: Harry Potter and the Deathly Hallows – Part 1 (Blu-ray 3D)Disc 27: Harry Potter and the Deathly Hallows – Part 2 Theatrical Version + Extra Content (Blu-ray)Disc 28: Harry Potter and the Deathly Hallows – Part 2 Theatrical Version (DVD)Disc 29: Harry Potter and the Deathly Hallows – Part 2, Creating the World: Growing Up + Extra Content (Blu-ray)Disc 30: Harry Potter and the Deathly Hallows – Part 2 (Blu-ray 3D)Disc 31: Harry Potter Hogwarts Collection Bonus Disc (Blu-ray)While I would have preferred to have all the extra content of the hogwarts collection in the 4kUHD set, I can say that the 4k edition of the movies look absolutely phenominal on a 4k HDR television!  I would have preferred some more details in the description of what you get in each package, and I hope that amazon does a better job seperating reviews from product to product as some of the reviews DO NOT apply to the 4kUHD set.

","1,322",19-Dec-17,,p,"

  When I purchased this set, there were 3 options:Harry Potter 8-film collection (4kUHD) standard edition Blu-Ray for $169.99  (Blu-Ray labeled box) (16 discs)Harry Potter The Complete 8-film collection for $54.98 (DVD labeled box) (8 discs)Harry Potter Hogwart's Collection for $134.95 {Multi Format labeled box) (31 discs)I purchased the 4kUHD set.  This set has 8 4kUHD blu-ray discs, and 8 standard blu-ray discs.The 4k blu-ray discs DO NOT contain any special features, I checked each disc.The standard blu-ray discs DO contain some special features as follows:Disc 1 (Sorcerer's Stone) has in movie experience with chris columbus and BD-Live, and includes the 159 minute length movie.Disc 2 (Chamber of Secrets) has in movie experience with chris columbus and BD-Live, and includes the 174 minute length movie.Disc 3 (Azkhaban) BD-liveDisc 4 (Goblet of Fire) has in movie experience and BD-live.Disc 5 (Order of Pheonix) has in movie experience, focus points and BD-live.Disc 6(Half-Blood Prince) has maximum movie mode, focus points and BD-live.Disc 7(Deathly Hallows 1) has maximum movie mode, focus points and BD-live.Disc 8(Deathly Hallows 2) has maximum movie mode, focus points and BD-live.I do know what is included in the 31 disc multi format set called the Hogwarts Collection:Disc 1: Harry Potter and the Sorcerer's Stone Theatrical Version + Extended Version + Extra Content (Blu-ray)Disc 2: Harry Potter and the Sorcerer's Stone Theatrical Version (DVD)Disc 3: Harry Potter and the Sorcerer's Stone, Creating The World: The Magic Begins (Blu-ray)Disc 4: Harry Potter and the Sorcerer's Stone, Disc 2 from the Special Edition (DVD)Disc 5: Harry Potter and the Chamber of Secrets Theatrical Version + Extended Version + Extra Content (Blu-ray)Disc 6: Harry Potter and the Chamber of Secrets Theatrical Version (DVD)Disc 7: Harry Potter and the Chamber of Secrets, Creating the World: Characters (Blu-ray)Disc 8: Harry Potter and the Chamber of Secrets, Disc 2 from the Special Edition (DVD)Disc 9: Harry Potter and the Prisoner of Azkaban Theatrical Version (Blu-ray)Disc 10: Harry Potter and the Prisoner of Azkaban Theatrical Version (DVD)Disc 11: Harry Potter and the Prisoner of Azkaban, Creating the World: Creatures (Blu-ray)Disc 12: Harry Potter and the Prisoner of Azkaban, Disc 2 from the Special Edition (DVD)Disc 13: Harry Potter and the Goblet of Fire Theatrical Version (Blu-ray)Disc 14: Harry Potter and the Goblet of Fire Theatrical Version (DVD)Disc 15: Harry Potter and the Goblet of Fire, Creating the World: Sound & Music (Blu-ray)Disc 16: Harry Potter and the Goblet of Fire, Disc 2 from the Special Edition (DVD)Disc 17: Harry Potter and the Order of the Phoenix Theatrical Version + Extra Content (Blu-ray)Disc 18: Harry Potter and the Order of the Phoenix Theatrical Version (DVD)Disc 19: Harry Potter and the Order of the Phoenix, Creating the World: Evolution (Blu-ray)Disc 20: Harry Potter and the Half-Blood Prince Theatrical Version + Extra Content (Blu-ray)Disc 21: Harry Potter and the Half-Blood Prince Theatrical Version (DVD)Disc 22: Harry Potter and the Half-Blood Prince, Creating the World: Magical Effects + Extra Content (Blu-ray) Disc 23: Harry Potter and the Deathly Hallows – Part 1 Theatrical Version + Extra Content (Blu-ray)Disc 24: Harry Potter and the Deathly Hallows – Part 1 Theatrical Version (DVD)Disc 25: Harry Potter and the Deathly Hallows – Part 1, Creating the World: Story + Extra Content (Blu-ray)Disc 26: Harry Potter and the Deathly Hallows – Part 1 (Blu-ray 3D)Disc 27: Harry Potter and the Deathly Hallows – Part 2 Theatrical Version + Extra Content (Blu-ray)Disc 28: Harry Potter and the Deathly Hallows – Part 2 Theatrical Version (DVD)Disc 29: Harry Potter and the Deathly Hallows – Part 2, Creating the World: Growing Up + Extra Content (Blu-ray)Disc 30: Harry Potter and the Deathly Hallows – Part 2 (Blu-ray 3D)Disc 31: Harry Potter Hogwarts Collection Bonus Disc (Blu-ray)While I would have preferred to have all the extra content of the hogwarts collection in the 4kUHD set, I can say that the 4k edition of the movies look absolutely phenominal on a 4k HDR television!  I would have preferred some more details in the description of what you get in each package, and I hope that amazon does a better job seperating reviews from product to product as some of the reviews DO NOT apply to the 4kUHD set.

"
1,B005OCFGTO,Harry Potter: The Complete 8-Film Collection,5,"

  I really wish Amazon kept all the reviews separate for each format on movies so it was easier to read about the specific version I want to buy.  I'm not going to review the movies.  This review is just for the collection itself, and what's included.  More importantly, what's not included.  If you are buying this 4K collection only for the movies, you will not be disappointed.  This is the best way to see and hear the movies.  They look amazing and sound even better.  However, I was surprised when I opened the box and saw only 16 discs, 8 for the 4K editions and 8 for the Blu Ray editions.  If you were to buy the 4K movies individually, you get an additional 3rd disc which is where all the extras are.  That 3 disc is not included for any of the movies in this collection.  There are no extras included with this collection, except for one each on the Blu Ray edition; the in-movie experience.  I previously owned the Blu Ray Ultimate editions, and I was really disappointed that the documentaries found on there are no where to be found in this collection.  No additional scenes.  Nothing.  In addition, the previous Extended versions of The Sorcerer's Stone and The Chamber of Secrets are only available on the Blu Ray discs.  The 4K disc only contains the Theatrical version.  Had I known this before I bought, I would have waited for better 4K box set, or bought all the movies individually.

",439,30-Dec-17,,p,"

  I really wish Amazon kept all the reviews separate for each format on movies so it was easier to read about the specific version I want to buy.  I'm not going to review the movies.  This review is just for the collection itself, and what's included.  More importantly, what's not included.  If you are buying this 4K collection only for the movies, you will not be disappointed.  This is the best way to see and hear the movies.  They look amazing and sound even better.  However, I was surprised when I opened the box and saw only 16 discs, 8 for the 4K editions and 8 for the Blu Ray editions.  If you were to buy the 4K movies individually, you get an additional 3rd disc which is where all the extras are.  That 3 disc is not included for any of the movies in this collection.  There are no extras included with this collection, except for one each on the Blu Ray edition; the in-movie experience.  I previously owned the Blu Ray Ultimate editions, and I was really disappointed that the documentaries found on there are no where to be found in this collection.  No additional scenes.  Nothing.  In addition, the previous Extended versions of The Sorcerer's Stone and The Chamber of Secrets are only available on the Blu Ray discs.  The 4K disc only contains the Theatrical version.  Had I known this before I bought, I would have waited for better 4K box set, or bought all the movies individually.

"
2,B005OCFGTO,Harry Potter: The Complete 8-Film Collection,3,"

  *** UPDATE *** I returned this very disappointing set of DVD's  and DID RECEIVE A FULL REFUND.  I've never once had a bad Amazon experience until today. I received a set of burnt DVDs, the film quality was grainy. I was super bummed. Hoping to return them for a refund. Just praying I don't get ""burnt"" while doing so.

",358,16-Feb-18,,n,"

  *** UPDATE *** I returned this very disappointing set of DVD's  and DID RECEIVE A FULL REFUND.  I've never once had a bad Amazon experience until today. I received a set of burnt DVDs, the film quality was grainy. I was super bummed. Hoping to return them for a refund. Just praying I don't get ""burnt"" while doing so.

"
3,B005OCFGTO,Harry Potter: The Complete 8-Film Collection,5,"

  This review is about the set, not the movies. You either like Harry Potter or you don't. I assume that only the former is looking at this set.Ok, THIS is how a boxed set should be. I've read some horror stories about other sets being mis-matched discs from previous releases (the X-Men collections) and I've seen the beauty that is The Lord of the Rings Extended Edition boxed set (another thing of beauty.) A truly cohesive production with original artwork on every disc. (When was it decided that Blu-ray discs didn't need artwork?)In truth, I have only just opened the set and have not even inserted one disc into my player. But I wanted to post something now to get one piece of info out there... How to get your digital copy!I'd read reviews about the codes being expired, so didn't have any expectations. Having bought the set at less than half price on Black Friday, I didn't care. But, since the code was in my hand, I figured why not try.The original provider of these codes was Flixster. They have been out of the Ultraviolet business for about a year now. Vudu filled their spot. A very good change, since the Vudu interface on all my hardware blows away what Flixster used to have. So I went to Vudu.com, but no love there. Received a message that the code had expired. Had to try. Then I did a little digging on the web and someone suggested going straight to Ultraviolet's web site, myuv.com. At first it didn't look promising, until I noticed down in the lowest left corner of the screen that there was a link to ""Redeem Code."" I entered my code, the screen took a moment, then said I'd have to go to Vudu to complete my registration of my code. I thought it was just sending my to Vudu's main screen and that it hadn't worked. No, it directed me to a confirmation screen that the movies had been added to my collection. I've since signed back into my account, and there they are.

",292,26-Nov-17,,p,"

  This review is about the set, not the movies. You either like Harry Potter or you don't. I assume that only the former is looking at this set.Ok, THIS is how a boxed set should be. I've read some horror stories about other sets being mis-matched discs from previous releases (the X-Men collections) and I've seen the beauty that is The Lord of the Rings Extended Edition boxed set (another thing of beauty.) A truly cohesive production with original artwork on every disc. (When was it decided that Blu-ray discs didn't need artwork?)In truth, I have only just opened the set and have not even inserted one disc into my player. But I wanted to post something now to get one piece of info out there... How to get your digital copy!I'd read reviews about the codes being expired, so didn't have any expectations. Having bought the set at less than half price on Black Friday, I didn't care. But, since the code was in my hand, I figured why not try.The original provider of these codes was Flixster. They have been out of the Ultraviolet business for about a year now. Vudu filled their spot. A very good change, since the Vudu interface on all my hardware blows away what Flixster used to have. So I went to Vudu.com, but no love there. Received a message that the code had expired. Had to try. Then I did a little digging on the web and someone suggested going straight to Ultraviolet's web site, myuv.com. At first it didn't look promising, until I noticed down in the lowest left corner of the screen that there was a link to ""Redeem Code."" I entered my code, the screen took a moment, then said I'd have to go to Vudu to complete my registration of my code. I thought it was just sending my to Vudu's main screen and that it hadn't worked. No, it directed me to a confirmation screen that the movies had been added to my collection. I've since signed back into my account, and there they are.

"
4,B005OCFGTO,Harry Potter: The Complete 8-Film Collection,3,"

  Got this last year for my mom for Christmas as she is an HP fan too. It took her a while to start watching them but she showed me them this year and I didn’t realize that all the discs look burned and even one of the movie’s disc’s looking completely different. But the biggest negative was that it was missing Half Blood Prince entirely instead having two copies of Order of the Phoenix

",394,30-Dec-17,,n,"

  Got this last year for my mom for Christmas as she is an HP fan too. It took her a while to start watching them but she showed me them this year and I didn’t realize that all the discs look burned and even one of the movie’s disc’s looking completely different. But the biggest negative was that it was missing Half Blood Prince entirely instead having two copies of Order of the Phoenix

"
5,B005OCFGTO,Harry Potter: The Complete 8-Film Collection,1,"

  The discs in this ‘set’ are all very different. It looks like they took discs from several versions and put them together in one case. These are not part of a set at all. The disc images are noticeably inconsistent and the case material feels cheap and easily breakable. If you’re a Harry Potter fan and want a real movie set then please DON’T BUY this one!! I’m very disappointed with this purchase. The pictures show how different the discs are.

",167,11-Jan-18,,n,"

  The discs in this ‘set’ are all very different. It looks like they took discs from several versions and put them together in one case. These are not part of a set at all. The disc images are noticeably inconsistent and the case material feels cheap and easily breakable. If you’re a Harry Potter fan and want a real movie set then please DON’T BUY this one!! I’m very disappointed with this purchase. The pictures show how different the discs are.

"
6,B005OCFGTO,Harry Potter: The Complete 8-Film Collection,5,"

  The item had been showed as Brand New but the one we received looked like ""used dvd"". Lots of scratched as you can see from these photos. We bought this for our boys to keep as their Harry Potter collections but we were very disappointed with its condition.

",79,27-Nov-18,,p,"

  The item had been showed as Brand New but the one we received looked like ""used dvd"". Lots of scratched as you can see from these photos. We bought this for our boys to keep as their Harry Potter collections but we were very disappointed with its condition.

"
7,B005OCFGTO,Harry Potter: The Complete 8-Film Collection,1,"

  Delayed audio and inconsistent packaging! Wanted to enjoy the Harry Potter movies, but the product itself seems subpar in comparison to other DVD collection products (e.g. LOTR). The DVD collection seems to be a Frankenstein of other individually packaged movies (i.e. The disc for The Half-Blood Prince says “Disc 1 Movie” as if it comes from a 2-DVD set). Most importantly, the audio in the Deathly Hallows Part 1 was severely delayed for a good 20-30 minutes of the movie. I have not seen Part 2 yet, so I can’t vouch for that movie, but movies 1-6 were fine. Lastly, as someone who needs/enjoys subtitles, HP 1-6 do NOT have a DVD menu screen, so you don’t have an option to turn them on. Overall, I enjoy and love Harry Potter, but this disc set was much less than what I had hoped for.

",161,20-Dec-17,,n,"

  Delayed audio and inconsistent packaging! Wanted to enjoy the Harry Potter movies, but the product itself seems subpar in comparison to other DVD collection products (e.g. LOTR). The DVD collection seems to be a Frankenstein of other individually packaged movies (i.e. The disc for The Half-Blood Prince says “Disc 1 Movie” as if it comes from a 2-DVD set). Most importantly, the audio in the Deathly Hallows Part 1 was severely delayed for a good 20-30 minutes of the movie. I have not seen Part 2 yet, so I can’t vouch for that movie, but movies 1-6 were fine. Lastly, as someone who needs/enjoys subtitles, HP 1-6 do NOT have a DVD menu screen, so you don’t have an option to turn them on. Overall, I enjoy and love Harry Potter, but this disc set was much less than what I had hoped for.

"
8,B005OCFGTO,Harry Potter: The Complete 8-Film Collection,1,"

  The Order of the Phoenix disc is entirely in Chinese! There is no main menu and the sound quality is abysmal.While the Half-Blood Prince disc's front label indicates ""Disc 1""?!?

",37,1-Jul-18,,n,"

  The Order of the Phoenix disc is entirely in Chinese! There is no main menu and the sound quality is abysmal.While the Half-Blood Prince disc's front label indicates ""Disc 1""?!?

"
9,B005OCFGTO,Harry Potter: The Complete 8-Film Collection,1,"

  Just watched the first disk and the 4K UHD is a vast improvement. Overall color correction and improvement over the Blu Ray versions. The atmos soundtrack was fabulous! 100% improvement and imservasive. My 5.1.4 system provided a fantastic addition. Sound moving all around and the announcer during the quiddach match was right overhead. A great experience. If the other disks sound and look this good it was a great buy. Very well done.

",48,23-Nov-17,,n,"

  Just watched the first disk and the 4K UHD is a vast improvement. Overall color correction and improvement over the Blu Ray versions. The atmos soundtrack was fabulous! 100% improvement and imservasive. My 5.1.4 system provided a fantastic addition. Sound moving all around and the announcer during the quiddach match was right overhead. A great experience. If the other disks sound and look this good it was a great buy. Very well done.

"
